"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","33.0","3","EC4V 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","4","EC4V 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","4","EC4V 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","4","EC4V 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","4","EC4V 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","4","EC4Y 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","29.0","3","EC4Y 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","EC4Y 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","4","EC4Y 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","4","EC4Y 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","EC50 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","EC88 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","EC88 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","N1 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","34.0","3","N1 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","N1 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","N1 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","3","N1 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","40.0","4","N1 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","34.0","3","N1 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","34.0","3","N1 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","28.0","3","N1 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","25.0","3","N1 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","22.0","3","N1C 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","N1P 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","N1P 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N2 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","3","N2 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","N2 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N2 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","38.0","3","N3 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N3 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","5","N3 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","38.0","3","N3 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","5","N4 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","4","N4 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","30.0","3","N4 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N4 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","38.0","3","N4 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","4","N5 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","40.0","3","N5 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","37.0","4","N5 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","37.0","3","N6 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","38.0","3","N6 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","38.0","3","N6 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","40.0","3","N6 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","N7 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N7 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","34.0","3","N7 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","3","N7 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","33.0","4","N7 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","31.0","4","N7 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","4","N8 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","49.0","3","N8 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","4","N8 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","4","N8 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","N8 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","N9 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","N9 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","56.0","4","N9 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","69.0","4","N9 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","4","N9 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","5","N10 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","53.0","4","N10 2"," WC1E 6BT","10007784"
