id,postcode,latitude,longitude
651,SW11 2,51.4657,-0.170678
652,SW11 3,51.4704,-0.171297
653,SW11 4,51.4738,-0.16179
654,SW11 5,51.4673,-0.158789
655,SW11 6,51.4578,-0.163127
656,SW11 7,51.4822,-0.134058
657,SW11 8,51.4818,-0.143819
658,SW11 9,51.4645,-0.164514
659,SW12 0,51.4459,-0.142496
660,SW12 2,51.4464,-0.151517
661,SW12 8,51.4473,-0.15572
662,SW12 9,51.4452,-0.149153
663,SW13 0,51.4699,-0.252048
664,SW13 3,51.4693,-0.266103
665,SW13 8,51.4806,-0.238632
666,SW13 9,51.4778,-0.246641
667,SW14 7,51.4658,-0.271007
668,SW14 8,51.4666,-0.263164
669,SW14 9,51.4693,-0.266101
670,SW15 1,51.4645,-0.220428
671,SW15 2,51.4596,-0.212879
672,SW15 3,51.4501,-0.229817
673,SW15 4,51.4504,-0.240022
674,SW15 5,51.4591,-0.238926
675,SW15 6,51.4601,-0.224438
676,SW15 9,51.4604,-0.218578
677,SW16 1,51.4321,-0.133275
678,SW16 2,51.4306,-0.124132
679,SW16 3,51.4205,-0.120332
680,SW16 4,51.4116,-0.12572
681,SW16 5,51.4181,-0.134003
682,SW16 6,51.4252,-0.138107
683,SW16 9,51.4309,-0.130694
684,SW17 0,51.4303,-0.174653
685,SW17 1,51.4286,-0.165603
686,SW17 6,51.4296,-0.153749
687,SW17 7,51.4357,-0.16374
688,SW17 8,51.4311,-0.16006
689,SW17 9,51.4244,-0.162619
690,SW18 1,51.4574,-0.193953
691,SW18 2,51.4534,-0.185942
692,SW18 3,51.446,-0.183013
693,SW18 4,51.4487,-0.192807
694,SW18 5,51.4468,-0.200654
695,SW18 9,51.4493,-0.191457
696,SW19 1,51.4182,-0.196871
697,SW19 2,51.416,-0.186345
698,SW19 3,51.4131,-0.203549
699,SW19 4,51.4197,-0.216621
700,SW19 5,51.4298,-0.217856
701,SW19 6,51.4381,-0.21539
702,SW19 7,51.4245,-0.20809
703,SW19 8,51.425,-0.200038
704,SW19 9,51.417,-0.213582
705,SW20 0,51.414,-0.232323
706,SW20 2,51.417,-0.213582
707,SW20 8,51.4135,-0.220303
708,SW20 9,51.4057,-0.220193
709,SW95 9,51.4805,-0.136331
710,SW99 0,51.4724,-0.115673
711,W1 3,51.5197,-0.152216
712,W1A 0,51.5182,-0.130996
713,W1A 1,51.5181,-0.133401
714,W1A 2,51.5179,-0.134724
715,W1A 3,51.5183,-0.132461
716,W1A 4,51.5176,-0.134048
717,W1A 5,51.5184,-0.13047
718,W1A 6,51.5185,-0.130193
719,W1A 7,51.5187,-0.129662
720,W1A 8,51.5195,-0.127155
721,W1A 9,51.5184,-0.132122
722,W1B 1,51.5208,-0.145293
723,W1B 2,51.5151,-0.142523
724,W1B 3,51.5165,-0.141498
725,W1B 4,51.5111,-0.139115
